"Atribuição geral","Atividades","Indicadores"
"","• Atuação como docente em","• Adequação do plano de ensino e"
"","disciplina(s) do(s) período(s)","aprendizagem de cada disciplina"
"","em oferta do curso","• Exercício da docência dentro das"
"","• Elaboração do plano de","normativas institucionais"
"Docência","",""
"","ensino e aprendizagem de","• Cumprimento da carga horária"
"","cada diciplina, conforme as","• Condução dos processos de"
"","normativas institucionais","avaliação da aprendizagem"
"","• Atuação como docente na(s)","dentro das normativas"
"","disciplina(s) atribuída(s)","institucionais"
"","• Condução das avaliações de","• Cumprimento dos prazos"
"","aprendizagem e atividades","estabelecidos em calendário"
"","correlatas de planejamento,","acadêmico para o regime"
"","correção e devolutiva","acadêmico"
"","• Realização das recuperações",""
"","de aprendizagem sempre que",""
"","identificar a necessidade e",""
"","conforme normativas",""
"","institucionais",""
"","• Uso dos recursos de",""
"","tecnologia e ambientes",""
"","pedagógicos de forma",""
"","diversificada e de acordo com",""
"","o plano de ensino e",""
"","aprendizagem",""
"","• Atuação no planejamento,","• Regularidade nas atividades"
"","desenvolvimento,","realizadas em projetos"
"","coordenação e gestão de","• Cumprimento da carga horária"
"Atuação em","projetos que atendam às","• Evidência do cumprimento das"
"projetos","políticas institucionais de","políticas institucionais de ensino,"
"","ensino, de extensão e de","de extensão e de pesquisa e do"
"","pesquisa","Projeto Pedagógico Institucional"
"","• Articulação entre a","nas atividades desenvolvidas"
"","comunidade acadêmica para",""
